image,SAM_IoU,YOLO_IoU
104.png,0.8804016620498615,0.8795091
121.png,0.8877756632710175,0.79420763
123.png,0.8278837420526793,0.9091406
126.png,0.9539780137879634,0.8527873
128.png,0.9518911220129768,0.91355556
139.png,0.9721673809409159,0.8836576
140.png,0.9731721059246738,0.8798587
163.png,0.9523538344722855,0.89119583
171.png,0.9520958083832335,0.9036457
172.png,0.8954227590591227,0.9520532
18.png,0.9529224851576219,0.82459587
184.png,0.8886674259681093,0.2250774
185.png,0.9253731343283582,0.91620255
189.png,0.9011976047904192,0.9313591
192.png,0.9238031018206339,0.8598784
193.png,0.8719193427931292,0.86017436
201.png,0.7800330777326718,0.46062624
213.png,0.8258438930891279,0.7491987
227.png,0.868564506359782,0.937221
242.png,0.824808935920047,0.93306416
246.png,0.7830106518389496,0.86912805
249.png,0.8589648646424751,0.8273131
276.png,0.7912415120374742,0.9069034
282.png,0.9316697761194029,0.8892773
298.png,0.8971386647101981,0.78629434
30.png,0.9081191967177715,0.92974395
301.png,0.8824099499273138,0.7173227
304.png,0.896854204476709,0.8491359
309.png,0.8419488026424443,0.67898226
313.png,0.7342824601366743,0.78477484
324.png,0.9320503330866026,0.86304563
342.png,0.9454723685822816,0.9557975
352.png,0.7208864729249425,0.6528523
355.png,0.9090727816550349,0.9249374
366.png,0.9037999037999038,0.91499287
37.png,0.9110433190970104,0.8995555
409.png,0.9374676288802182,0.8467932
412.png,0.8947294051151617,0.91129595
416.png,0.9388661439178405,0.8789454
43.png,0.9189048691734535,0.8914966
432.png,0.9123342454220165,0.9390973
435.png,0.9371868507882195,0.90806395
440.png,0.8758665162018379,0.79056925
448.png,0.9104563835932987,0.820818
45.png,0.9462416002500391,0.9210074
486.png,0.8895228215767634,0.90931123
489.png,0.8337175188600168,0.8671655
512.png,0.9428201065821691,0.87015384
517.png,0.9250309092952681,0.8538456
522.png,0.9466095089633672,0.9045907
565.png,0.1662722502315053,0.078968324
594.png,0.9404969485614647,0.8495408
601.png,0.9361803460866804,0.8828798
608.png,0.7855699855699856,0.7086358
65.png,0.9160409556313993,0.8017738
68.png,0.7447062332239786,0.6496415
73.png,0.376825100963032,0.044483595
78.png,0.9383629191321499,0.8634096
86.png,0.9110142118863049,0.8806135
90.png,0.9444968850292619,0.9294766
92.png,0.9277406582529077,0.8414703
93.png,0.8503845257515731,0.8911678
