image,SAM_IoU,YOLO_IoU
101.png,0.9191652674502279,0.9157593
11.png,0.8893587247505476,0.91395706
110.png,0.8957536164255716,0.927428
112.png,0.9077965480932106,0.85930854
113.png,0.9219800914716169,0.9366014
139.png,0.7583047765578013,0.93192667
141.png,0.892311723311873,0.9424382
146.png,0.8957263936970276,0.8279964
150.png,0.9098060739114526,0.85530746
163.png,0.9070988358822186,0.86976516
170.png,0.8417209475998838,0.9215198
172.png,0.9165496254681648,0.8790799
190.png,0.8803384367445608,0.82152957
199.png,0.88058816554014,0.8254599
20.png,0.904905540561994,0.9254617
201.png,0.9310253699788583,0.91699237
206.png,0.762046908315565,0.80479294
211.png,0.7319324151639927,0.8838646
225.png,0.8397526005060444,0.8229612
254.png,0.9282642689601251,0.963122
256.png,0.9177346515317955,0.8754988
292.png,0.6638537271448663,0.35209632
294.png,0.8088992974238876,0.91135114
305.png,0.9203294388586193,0.84632254
331.png,0.957459357835367,0.93609375
350.png,0.7831455805892548,0.7461036
358.png,0.8001453488372093,0.74268824
370.png,0.8261044176706828,0.8868431
371.png,0.7218430034129693,0.76452625
377.png,0.8402474526928675,0.861259
51.png,0.896928051738076,0.89218074
56.png,0.8103881597319185,0.8658133
69.png,0.8027522935779816,0.8022617
72.png,0.8643825589906242,0.8766599
88.png,0.8727598566308243,0.88630956
90.png,0.8127490039840638,0.82072896
