dataset,model,box_mAP@50,box_mAP@50-95,box_mean_f1,box_mean_precision,box_mean_recall,seg_mAP@50,seg_mAP@50-95,seg_mean_f1,seg_mean_precision,seg_mean_recall
CVC-ClinicDB,rtdetr,0.889084837,0.655584047,0.866088313,0.847585794,0.885416667,,,,,
CVC-ClinicDB,yolo8,0.988849376,0.847419874,0.983729597,0.988335254,0.979166667,,,,,
CVC-ClinicDB,yolo9,0.991889155,0.83003127,0.979208264,0.969048487,0.989583333,,,,,
CVC-ClinicDB,yolo10,0.96456531,0.804624052,0.950035699,0.974153407,0.927083333,,,,,
CVC-ClinicDB,yolo11,0.994691752,0.83315778,0.989690722,0.979591837,1.0,,,,,
CVC-ClinicDB,yolo12,0.992295918,0.846797919,0.989167465,0.979570712,0.998954115,,,,,
CVC-ClinicDB,yolo26,0.994297895,0.814126157,0.988754591,0.989566082,0.987944429,,,,,
CVC-ClinicDB,yoloe,0.949712345,0.731634639,0.943480805,0.976890574,0.912280702,0.949712345,0.773475372,0.943480805,0.976890574,0.912280702
CVC-ClinicDB,yolow,0.992713095,0.866433492,0.984455959,0.979381443,0.989583333,,,,,
CVC-ClinicDB,rtdetr,0.9552979622179488,0.8092253453917921,0.938580800438366,0.9102339316570176,0.96875,,,,,
CVC-ClinicDB,yolo8,0.976710359108916,0.8152245860041685,0.9589152392386672,0.9681476905243342,0.9498572096607796,,,,,
CVC-ClinicDB,yolo9,0.9802748116520176,0.8332399691640339,0.9562208761155716,0.9440116998209582,0.96875,,,,,
CVC-ClinicDB,yolo10,0.9715905284831846,0.8060167539782146,0.962136718288664,0.9784594588808418,0.9463496363775132,,,,,
CVC-ClinicDB,yolo11,0.9886039115646258,0.8258804753362305,0.9833714409825922,1.0,0.9672868544368268,,,,,
CVC-ClinicDB,yolo12,0.9870209359030028,0.8459343891738882,0.9690721649484536,0.9591836734693876,0.9791666666666666,,,,,
CVC-ClinicDB,yolo26,0.9593892107892106,0.7860388384343444,0.9518716577540108,0.978021978021978,0.9270833333333334,,,,,
CVC-ClinicDB,yoloe,0.9695730519480518,0.783300499354626,0.9630187047400538,0.9791947512513908,0.9473684210526316,0.9695730519480518,0.7937076470405928,0.9630187047400538,0.9791947512513908,0.9473684210526316
CVC-ClinicDB,yolow,0.9883911922663804,0.8471868104356863,0.9835105691954814,0.9878931854061552,0.9791666666666666,,,,,
CVC-ClinicDB,rtdetr,0.9857334183673468,0.8424108234416146,0.9896907216494846,0.979591836734694,1.0,,,,,
CVC-ClinicDB,yolo8,0.976710359108916,0.8152245860041685,0.9589152392386672,0.9681476905243342,0.9498572096607796,,,,,
CVC-ClinicDB,yolo9,0.9802748116520176,0.8332399691640339,0.9562208761155716,0.9440116998209582,0.96875,,,,,
CVC-ClinicDB,yolo10,0.9715905284831846,0.8060167539782146,0.962136718288664,0.9784594588808418,0.9463496363775132,,,,,
CVC-ClinicDB,yolo11,0.9886039115646258,0.8258804753362305,0.9833714409825922,1.0,0.9672868544368268,,,,,
CVC-ClinicDB,yolo12,0.9870209359030028,0.8459343891738882,0.9690721649484536,0.9591836734693876,0.9791666666666666,,,,,
CVC-ClinicDB,yolo26,0.9593892107892106,0.7860388384343444,0.9518716577540108,0.978021978021978,0.9270833333333334,,,,,
CVC-ClinicDB,yoloe,0.9695730519480518,0.783300499354626,0.9630187047400538,0.9791947512513908,0.9473684210526316,0.9695730519480518,0.7937076470405928,0.9630187047400538,0.9791947512513908,0.9473684210526316
CVC-ClinicDB,yolow,0.9883911922663803,0.8471868104356863,0.9835105691954814,0.9878931854061551,0.9791666666666666,,,,,
