dataset,model,box_mAP@50,box_mAP@50-95,box_mean_f1,box_mean_precision,box_mean_recall,seg_mAP@50,seg_mAP@50-95,seg_mean_f1,seg_mean_precision,seg_mean_recall
CVC-ColonDB,rtdetr,0.970369367575162,0.7119364349580325,0.9069057738501248,0.8970241329604154,0.9170075526039224,,,,,
CVC-ColonDB,yolo8,0.968502551020408,0.7546396008458593,0.9557522123893804,0.9642857142857144,0.9473684210526316,,,,,
CVC-ColonDB,yolo9,0.9907,0.733291451697486,0.991150442477876,1.0,0.9824561403508772,,,,,
CVC-ColonDB,yolo10,0.8971405465164789,0.6499081049432343,0.8703703703703703,0.9215686274509804,0.8245614035087719,,,,,
CVC-ColonDB,yolo11,0.9441298076923076,0.6967732027585696,0.9357798165137614,0.9807692307692308,0.8947368421052632,,,,,
CVC-ColonDB,yolo12,0.9452051884700664,0.7416951764516108,0.9464285714285716,0.9636363636363636,0.9298245614035088,,,,,
CVC-ColonDB,yolo26,0.9376894599972336,0.6196155787416672,0.8767868995140419,0.891256679675652,0.8627794543889128,,,,,
CVC-ColonDB,yoloe,0.9235162499999996,0.699532157016953,0.9158878504672898,0.98,0.8596491228070176,0.9235162499999996,0.7416882052257161,0.9158878504672898,0.98,0.8596491228070176
CVC-ColonDB,yolow,0.950595160839161,0.6836881963943511,0.935076831889578,0.9792260931415436,0.8947368421052632,,,,,
CVC-ColonDB,rtdetr,0.9497495800146925,0.675748693011518,0.9443899141418194,0.9810918332975216,0.9103349573327912,,,,,
CVC-ColonDB,yolo8,0.9465954716981132,0.6876004945145837,0.9389599817989068,0.9672467208339962,0.912280701754386,,,,,
CVC-ColonDB,yolo9,0.9713454545454544,0.7110488281121086,0.9642857142857142,0.9818181818181818,0.9473684210526316,,,,,
CVC-ColonDB,yolo10,0.9367405660377356,0.74781834225359,0.9107142857142856,0.9272727272727272,0.8947368421052632,,,,,
CVC-ColonDB,yolo11,0.9587907407407406,0.7319398335955712,0.954954954954955,0.9814814814814816,0.9298245614035088,,,,,
CVC-ColonDB,yolo12,0.942783653846154,0.7671859309715046,0.9357798165137614,0.9807692307692308,0.8947368421052632,,,,,
CVC-ColonDB,yolo26,0.93660921323463,0.6828295649799139,0.912280701754386,0.912280701754386,0.912280701754386,,,,,
CVC-ColonDB,yoloe,0.9695730519480518,0.783300499354626,0.9630187047400538,0.9791947512513908,0.9473684210526316,0.9695730519480518,0.7937076470405928,0.9630187047400538,0.9791947512513908,0.9473684210526316
CVC-ColonDB,yolow,0.8707875923096511,0.5941618547930813,0.8530595763451386,0.9277853876868004,0.7894736842105263,,,,,
CVC-ColonDB,rtdetr,0.970369367575162,0.7119364349580325,0.9069057738501248,0.8970241329604154,0.9170075526039224,,,,,
CVC-ColonDB,yolo8,0.9673454545454544,0.727160902792273,0.9642857142857142,0.9818181818181818,0.9473684210526316,,,,,
CVC-ColonDB,yolo9,0.9583146978021978,0.7210675110547408,0.9380530973451328,0.9464285714285714,0.9298245614035088,,,,,
CVC-ColonDB,yolo10,0.9231512605042016,0.6384116241494995,0.925925925925926,0.9803921568627452,0.8771929824561403,,,,,
CVC-ColonDB,yolo11,0.9587907407407406,0.7319398335955712,0.954954954954955,0.9814814814814816,0.9298245614035088,,,,,
CVC-ColonDB,yolo12,0.942783653846154,0.7671859309715046,0.9357798165137614,0.9807692307692308,0.8947368421052632,,,,,
CVC-ColonDB,yolo26,0.93660921323463,0.6828295649799139,0.912280701754386,0.912280701754386,0.912280701754386,,,,,
CVC-ColonDB,yoloe,0.9589759259259258,0.7852617736709349,0.954954954954955,0.9814814814814816,0.9298245614035088,0.9589759259259258,0.8059059768094835,0.954954954954955,0.9814814814814816,0.9298245614035088
CVC-ColonDB,yolow,0.9793571428571428,0.7130397292077139,0.9724185742893812,0.9800425701771438,0.9649122807017544,,,,,
