dataset,model,box_mAP@50,box_mAP@50-95,box_mean_f1,box_mean_precision,box_mean_recall,seg_mAP@50,seg_mAP@50-95,seg_mean_f1,seg_mean_precision,seg_mean_recall
ETIS-LaribPolypDB,rtdetr,0.6649676074304568,0.4481109551227355,0.6352204416797238,0.5868307522375672,0.6923076923076923,,,,,
ETIS-LaribPolypDB,yolo8,0.9273703296703296,0.6084085935973802,0.8917889608426146,1.0,0.8047104110428961,,,,,
ETIS-LaribPolypDB,yolo9,0.9394417391304348,0.6320643776259971,0.8990641962509485,0.9139928428150482,0.8846153846153846,,,,,
ETIS-LaribPolypDB,yolo10,0.9065,0.6322884733956102,0.8799999999999999,0.9166666666666666,0.8461538461538461,,,,,
ETIS-LaribPolypDB,yolo11,0.9782755760368664,0.6961426445200639,0.9381959496791964,0.9597617153903072,0.9175780474686256,,,,,
ETIS-LaribPolypDB,yolo12,0.9805096774193548,0.6204755167247208,0.9230410086048368,0.9585689431012128,0.8900525331049101,,,,,
ETIS-LaribPolypDB,yolo26,0.9784482758620692,0.6580138141762453,0.9785573028323228,1.0,0.9580148798809078,,,,,
ETIS-LaribPolypDB,yoloe,0.9732905982905984,0.6688815436088966,0.9611562449970144,0.9607743322009548,0.9615384615384616,0.9732905982905984,0.7453550774577637,0.9611562449970144,0.9607743322009548,0.9615384615384616
ETIS-LaribPolypDB,yolow,0.904530303030303,0.6325422654277739,0.8799999999999999,0.9166666666666666,0.8461538461538461,,,,,
ETIS-LaribPolypDB,rtdetr,0.5658031605613496,0.3114234499204534,0.4519081810708437,0.3563376002000372,0.6175316079762295,,,,,
ETIS-LaribPolypDB,yolo8,0.923,0.6742036316965105,0.9166666666666666,1.0,0.8461538461538461,,,,,
ETIS-LaribPolypDB,yolo9,0.9629933586337762,0.6158891777939973,0.9571126690818752,0.9937544406253268,0.9230769230769232,,,,,
ETIS-LaribPolypDB,yolo10,0.871,0.6104811509759247,0.8333333333333333,0.9090909090909092,0.7692307692307693,,,,,
ETIS-LaribPolypDB,yolo11,0.9614,0.6564299316080056,0.96,1.0,0.9230769230769232,,,,,
ETIS-LaribPolypDB,yolo12,0.8846,0.5945662404564073,0.8695652173913044,1.0,0.7692307692307693,,,,,
ETIS-LaribPolypDB,yolo26,0.9784482758620692,0.6580138141762453,0.9785573028323228,1.0,0.9580148798809078,,,,,
ETIS-LaribPolypDB,yoloe,0.9732905982905984,0.6688815436088966,0.9611562449970144,0.9607743322009548,0.9615384615384616,0.9732905982905984,0.7453550774577637,0.9611562449970144,0.9607743322009548,0.9615384615384616
ETIS-LaribPolypDB,yolow,0.904530303030303,0.6325422654277739,0.8799999999999999,0.9166666666666666,0.8461538461538461,,,,,
ETIS-LaribPolypDB,rtdetr,0.6649676074304568,0.4481109551227355,0.6352204416797238,0.5868307522375672,0.6923076923076923,,,,,
ETIS-LaribPolypDB,yolo8,0.923,0.6742036316965105,0.9166666666666666,1.0,0.8461538461538461,,,,,
ETIS-LaribPolypDB,yolo9,0.915725925925926,0.6349274940142162,0.8997370063503953,0.9153845972266664,0.8846153846153846,,,,,
ETIS-LaribPolypDB,yolo10,0.9005737373737372,0.61069875056834,0.870397100717638,0.954122693965152,0.8001801773807803,,,,,
ETIS-LaribPolypDB,yolo11,0.9784615384615384,0.6894749677082463,0.9615384615384616,0.9615384615384616,0.9615384615384616,,,,,
ETIS-LaribPolypDB,yolo12,0.9805096774193548,0.6204755167247208,0.9230410086048368,0.9585689431012128,0.8900525331049101,,,,,
ETIS-LaribPolypDB,yolo26,0.930525925925926,0.5830970485852272,0.9096322597885618,0.9834074294735105,0.8461538461538461,,,,,
ETIS-LaribPolypDB,yoloe,0.9779059829059829,0.6858419013383825,0.9580816251757184,0.9958458532231488,0.9230769230769232,0.9779059829059829,0.7498166124860647,0.9580816251757184,0.9958458532231488,0.9230769230769232
ETIS-LaribPolypDB,yolow,0.9229999999999999,0.6873063847117795,0.9166666666666666,1.0,0.8461538461538461,,,,,
