dataset,model,size_category,tp,fp,fn,total_gt,precision,recall,f1
CVC-ClinicDB,rtdetr,small,0,1,0,0,0.0,0.0,0.0
CVC-ClinicDB,rtdetr,medium,1,1,0,1,0.5,1.0,0.6666666666666666
CVC-ClinicDB,rtdetr,large,24,6,0,24,0.8,1.0,0.888888888888889
CVC-ClinicDB,rtdetr,very large,68,111,3,71,0.37988826815642457,0.9577464788732394,0.544
CVC-ClinicDB,yolo8,small,0,0,0,0,0.0,0.0,0.0
CVC-ClinicDB,yolo8,medium,0,0,1,1,0.0,0.0,0.0
CVC-ClinicDB,yolo8,large,24,2,0,24,0.9230769230769231,1.0,0.9600000000000001
CVC-ClinicDB,yolo8,very large,71,2,0,71,0.9726027397260274,1.0,0.9861111111111112
CVC-ClinicDB,yolo9,small,0,0,0,0,0.0,0.0,0.0
CVC-ClinicDB,yolo9,medium,0,0,1,1,0.0,0.0,0.0
CVC-ClinicDB,yolo9,large,24,1,0,24,0.96,1.0,0.9795918367346939
CVC-ClinicDB,yolo9,very large,71,1,0,71,0.9861111111111112,1.0,0.993006993006993
CVC-ClinicDB,yolo10,small,0,0,0,0,0.0,0.0,0.0
CVC-ClinicDB,yolo10,medium,0,1,1,1,0.0,0.0,0.0
CVC-ClinicDB,yolo10,large,22,2,2,24,0.9166666666666666,0.9166666666666666,0.9166666666666666
CVC-ClinicDB,yolo10,very large,69,2,2,71,0.971830985915493,0.971830985915493,0.971830985915493
CVC-ClinicDB,yolo11,small,0,0,0,0,0.0,0.0,0.0
CVC-ClinicDB,yolo11,medium,1,0,0,1,1.0,1.0,1.0
CVC-ClinicDB,yolo11,large,24,0,0,24,1.0,1.0,1.0
CVC-ClinicDB,yolo11,very large,71,1,0,71,0.9861111111111112,1.0,0.993006993006993
CVC-ClinicDB,yolo12,small,0,0,0,0,0.0,0.0,0.0
CVC-ClinicDB,yolo12,medium,1,0,0,1,1.0,1.0,1.0
CVC-ClinicDB,yolo12,large,24,1,0,24,0.96,1.0,0.9795918367346939
CVC-ClinicDB,yolo12,very large,71,2,0,71,0.9726027397260274,1.0,0.9861111111111112
CVC-ClinicDB,yoloe,small,0,0,0,0,0.0,0.0,0.0
CVC-ClinicDB,yoloe,medium,0,0,1,1,0.0,0.0,0.0
CVC-ClinicDB,yoloe,large,20,3,4,24,0.8695652173913043,0.8333333333333334,0.851063829787234
CVC-ClinicDB,yoloe,very large,45,5,26,71,0.9,0.6338028169014085,0.7438016528925621
CVC-ClinicDB,yolow,small,0,0,0,0,0.0,0.0,0.0
CVC-ClinicDB,yolow,medium,0,0,1,1,0.0,0.0,0.0
CVC-ClinicDB,yolow,large,24,0,0,24,1.0,1.0,1.0
CVC-ClinicDB,yolow,very large,71,2,0,71,0.9726027397260274,1.0,0.9861111111111112
CVC-ClinicDB,yolo26,small,0,0,0,0,0.0,0.0,0.0
CVC-ClinicDB,yolo26,medium,1,0,0,1,1.0,1.0,1.0
CVC-ClinicDB,yolo26,large,24,2,0,24,0.9230769230769231,1.0,0.9600000000000001
CVC-ClinicDB,yolo26,very large,69,2,2,71,0.971830985915493,0.971830985915493,0.971830985915493
CVC-ColonDB,rtdetr,small,1,0,0,1,1.0,1.0,1.0
CVC-ColonDB,rtdetr,medium,5,5,1,6,0.5,0.8333333333333334,0.625
CVC-ColonDB,rtdetr,large,27,27,0,27,0.5,1.0,0.6666666666666666
CVC-ColonDB,rtdetr,very large,23,20,0,23,0.5348837209302325,1.0,0.6969696969696969
CVC-ColonDB,yolo8,small,1,0,0,1,1.0,1.0,1.0
CVC-ColonDB,yolo8,medium,6,1,0,6,0.8571428571428571,1.0,0.923076923076923
CVC-ColonDB,yolo8,large,25,0,2,27,1.0,0.9259259259259259,0.9615384615384615
CVC-ColonDB,yolo8,very large,21,1,2,23,0.9545454545454546,0.9130434782608695,0.9333333333333332
CVC-ColonDB,yolo9,small,1,0,0,1,1.0,1.0,1.0
CVC-ColonDB,yolo9,medium,6,0,0,6,1.0,1.0,1.0
CVC-ColonDB,yolo9,large,27,0,0,27,1.0,1.0,1.0
CVC-ColonDB,yolo9,very large,22,0,1,23,1.0,0.9565217391304348,0.9777777777777777
CVC-ColonDB,yolo10,small,1,0,0,1,1.0,1.0,1.0
CVC-ColonDB,yolo10,medium,5,0,1,6,1.0,0.8333333333333334,0.9090909090909091
CVC-ColonDB,yolo10,large,21,2,6,27,0.9130434782608695,0.7777777777777778,0.84
CVC-ColonDB,yolo10,very large,20,4,3,23,0.8333333333333334,0.8695652173913043,0.851063829787234
CVC-ColonDB,yolo11,small,1,0,0,1,1.0,1.0,1.0
CVC-ColonDB,yolo11,medium,5,0,1,6,1.0,0.8333333333333334,0.9090909090909091
CVC-ColonDB,yolo11,large,25,0,2,27,1.0,0.9259259259259259,0.9615384615384615
CVC-ColonDB,yolo11,very large,19,1,4,23,0.95,0.8260869565217391,0.8837209302325583
CVC-ColonDB,yolo12,small,1,0,0,1,1.0,1.0,1.0
CVC-ColonDB,yolo12,medium,6,1,0,6,0.8571428571428571,1.0,0.923076923076923
CVC-ColonDB,yolo12,large,25,0,2,27,1.0,0.9259259259259259,0.9615384615384615
CVC-ColonDB,yolo12,very large,21,2,2,23,0.9130434782608695,0.9130434782608695,0.9130434782608695
CVC-ColonDB,yoloe,small,0,0,1,1,0.0,0.0,0.0
CVC-ColonDB,yoloe,medium,4,0,2,6,1.0,0.6666666666666666,0.8
CVC-ColonDB,yoloe,large,23,0,4,27,1.0,0.8518518518518519,0.92
CVC-ColonDB,yoloe,very large,21,1,2,23,0.9545454545454546,0.9130434782608695,0.9333333333333332
CVC-ColonDB,yolow,small,1,0,0,1,1.0,1.0,1.0
CVC-ColonDB,yolow,medium,6,0,0,6,1.0,1.0,1.0
CVC-ColonDB,yolow,large,26,0,1,27,1.0,0.9629629629629629,0.9811320754716981
CVC-ColonDB,yolow,very large,21,3,2,23,0.875,0.9130434782608695,0.8936170212765957
CVC-ColonDB,yolo26,small,1,0,0,1,1.0,1.0,1.0
CVC-ColonDB,yolo26,medium,6,1,0,6,0.8571428571428571,1.0,0.923076923076923
CVC-ColonDB,yolo26,large,24,3,3,27,0.8888888888888888,0.8888888888888888,0.8888888888888888
CVC-ColonDB,yolo26,very large,21,1,2,23,0.9545454545454546,0.9130434782608695,0.9333333333333332
ETIS-LaribPolypDB,rtdetr,small,1,10,0,1,0.09090909090909091,1.0,0.16666666666666669
ETIS-LaribPolypDB,rtdetr,medium,5,13,0,5,0.2777777777777778,1.0,0.4347826086956522
ETIS-LaribPolypDB,rtdetr,large,11,94,1,12,0.10476190476190476,0.9166666666666666,0.18803418803418803
ETIS-LaribPolypDB,rtdetr,very large,8,68,0,8,0.10526315789473684,1.0,0.1904761904761905
ETIS-LaribPolypDB,yolo8,small,1,0,0,1,1.0,1.0,1.0
ETIS-LaribPolypDB,yolo8,medium,5,0,0,5,1.0,1.0,1.0
ETIS-LaribPolypDB,yolo8,large,12,2,0,12,0.8571428571428571,1.0,0.923076923076923
ETIS-LaribPolypDB,yolo8,very large,6,0,2,8,1.0,0.75,0.8571428571428571
ETIS-LaribPolypDB,yolo9,small,1,1,0,1,0.5,1.0,0.6666666666666666
ETIS-LaribPolypDB,yolo9,medium,5,1,0,5,0.8333333333333334,1.0,0.9090909090909091
ETIS-LaribPolypDB,yolo9,large,11,4,1,12,0.7333333333333333,0.9166666666666666,0.8148148148148148
ETIS-LaribPolypDB,yolo9,very large,6,6,2,8,0.5,0.75,0.6
ETIS-LaribPolypDB,yolo10,small,1,0,0,1,1.0,1.0,1.0
ETIS-LaribPolypDB,yolo10,medium,3,0,2,5,1.0,0.6,0.7499999999999999
ETIS-LaribPolypDB,yolo10,large,11,2,1,12,0.8461538461538461,0.9166666666666666,0.8799999999999999
ETIS-LaribPolypDB,yolo10,very large,7,0,1,8,1.0,0.875,0.9333333333333333
ETIS-LaribPolypDB,yolo11,small,1,0,0,1,1.0,1.0,1.0
ETIS-LaribPolypDB,yolo11,medium,5,0,0,5,1.0,1.0,1.0
ETIS-LaribPolypDB,yolo11,large,12,2,0,12,0.8571428571428571,1.0,0.923076923076923
ETIS-LaribPolypDB,yolo11,very large,8,14,0,8,0.36363636363636365,1.0,0.5333333333333333
ETIS-LaribPolypDB,yolo12,small,1,2,0,1,0.3333333333333333,1.0,0.5
ETIS-LaribPolypDB,yolo12,medium,5,0,0,5,1.0,1.0,1.0
ETIS-LaribPolypDB,yolo12,large,12,9,0,12,0.5714285714285714,1.0,0.7272727272727273
ETIS-LaribPolypDB,yolo12,very large,8,9,0,8,0.47058823529411764,1.0,0.6399999999999999
ETIS-LaribPolypDB,yoloe,small,1,0,0,1,1.0,1.0,1.0
ETIS-LaribPolypDB,yoloe,medium,5,0,0,5,1.0,1.0,1.0
ETIS-LaribPolypDB,yoloe,large,12,1,0,12,0.9230769230769231,1.0,0.9600000000000001
ETIS-LaribPolypDB,yoloe,very large,7,1,1,8,0.875,0.875,0.875
ETIS-LaribPolypDB,yolow,small,1,0,0,1,1.0,1.0,1.0
ETIS-LaribPolypDB,yolow,medium,4,0,1,5,1.0,0.8,0.888888888888889
ETIS-LaribPolypDB,yolow,large,11,1,1,12,0.9166666666666666,0.9166666666666666,0.9166666666666666
ETIS-LaribPolypDB,yolow,very large,6,0,2,8,1.0,0.75,0.8571428571428571
ETIS-LaribPolypDB,yolo26,small,1,0,0,1,1.0,1.0,1.0
ETIS-LaribPolypDB,yolo26,medium,5,0,0,5,1.0,1.0,1.0
ETIS-LaribPolypDB,yolo26,large,12,3,0,12,0.8,1.0,0.888888888888889
ETIS-LaribPolypDB,yolo26,very large,7,0,1,8,1.0,0.875,0.9333333333333333
